epoch;accuracy;loss;val_accuracy;val_loss
0;0.76331675;0.49967799454250117;0.8349359;0.40773541040909594
1;0.827326;0.39330818279731;0.8645833;0.3452222438958975
2;0.8553356;0.34231319007548416;0.85096157;0.3755672371540314
3;0.8763761;0.2998390131503005;0.87780446;0.3191558879155379
4;0.89936966;0.2512557854113931;0.8661859;0.3527555985328479
5;0.9152166;0.21291055047715252;0.8625801;0.3817304911521765
6;0.93443716;0.1721307500477203;0.86017627;0.41060087581475574
7;0.9469993;0.14202788717176934;0.87540066;0.4058633041687501
8;0.96031606;0.11228151272834194;0.8605769;0.5083546455089862
9;0.9644886;0.09735243253949606;0.86698717;0.5685255607733359
