epoch;accuracy;loss;val_accuracy;val_loss
0;0.7722834;0.4845241436904127;0.86378205;0.3706051447452643
1;0.80988103;0.4222415920177644;0.84094554;0.40762438147495955
2;0.8197798;0.4071961340748451;0.8453526;0.39860561948556167
3;0.8248846;0.3967454226433553;0.8557692;0.3725051612426073
4;0.83256394;0.38669886164875195;0.84415066;0.3985742063094408
5;0.83735794;0.3779951887713237;0.853766;0.37991406673040146
6;0.8428622;0.36946376794102515;0.86778843;0.3570204690480844
7;0.8466797;0.36305548568171536;0.8609776;0.37117877449744785
8;0.8478782;0.3565830989656123;0.8577724;0.3742753702860612
9;0.85302734;0.350319201846353;0.85977566;0.36839826022967315
