epoch;accuracy;loss;val_accuracy;val_loss
0;0.97212356;0.08083745179266638;1.0;1.990059351952275e-06
1;1.0;8.405535490267497e-07;1.0;3.6049319089961966e-07
2;1.0;2.340740509300009e-07;1.0;1.4499972040154646e-07
3;1.0;9.966207819617717e-08;1.0;4.546763913519195e-08
4;1.0;2.390217956767375e-08;1.0;1.1414670690138943e-08
5;1.0;7.334164725662658e-09;1.0;5.68345531890785e-09
6;1.0;3.085005812361849e-09;1.0;0.0
7;1.0;0.0;1.0;0.0
8;1.0;0.0;1.0;0.0
9;1.0;0.0;1.0;0.0
