epoch;accuracy;loss;val_accuracy;val_loss
0;0.7898615;0.4505499976433136;0.86217946;0.36226542676106477
1;0.8227983;0.4057270527224649;0.86177886;0.3589967164473656
2;0.8308771;0.3924033313312314;0.86538464;0.35661206107873183
3;0.83522725;0.3824581006033854;0.8766026;0.3268064084725502
4;0.8396218;0.37275775644758885;0.87219554;0.3302818307509789
5;0.8416193;0.365565313026309;0.8709936;0.3311144778361687
6;0.8470348;0.35724093638021837;0.880609;0.3149407548017991
7;0.85258347;0.34821971074085345;0.8770032;0.3218399675992819
8;0.85573506;0.34380181844938884;0.8890224;0.30097704170606077
9;0.85959697;0.3376313011077317;0.88982373;0.29871316789052427
