epoch;accuracy;loss;val_accuracy;val_loss
0;0.78804153;0.4567197286947207;0.87940705;0.32493381164012813
1;0.8165394;0.4153404354371808;0.8866186;0.3151855976917805
2;0.82577235;0.39707918503237044;0.8661859;0.35416190288005733
3;0.83069956;0.38548395613377745;0.8802083;0.32738694892479825
4;0.8386452;0.3762354094281115;0.87740386;0.32703185387146777
5;0.84383875;0.36830057081004436;0.88301283;0.31866480028017974
6;0.8475675;0.36161924894391134;0.88421476;0.3189341047635445
7;0.84849966;0.3561161516488276;0.880609;0.3251073860969299
8;0.8528942;0.3511191896078261;0.8762019;0.330141265804951
9;0.85462534;0.346157776361162;0.8798077;0.31830551341558116
