epoch;auc;categorical_accuracy;false_negatives;false_positives;loss;precision;recall;true_negatives;true_positives;val_auc;val_categorical_accuracy;val_false_negatives;val_false_positives;val_loss;val_precision;val_recall;val_true_negatives;val_true_positives
0;0.50296605;0.51704544;340.0;340.0;1.0369544625282288;0.51704544;0.51704544;364.0;364.0;0.5546875;0.5;8.0;8.0;0.6895040646195412;0.5;0.5;8.0;8.0
1;0.8091072;0.7698864;162.0;162.0;0.5720952993089502;0.7698864;0.7698864;542.0;542.0;0.8046875;0.6875;5.0;5.0;0.5478939451277256;0.6875;0.6875;11.0;11.0
2;0.86567825;0.7911932;147.0;147.0;0.460787060585889;0.7911932;0.7911932;557.0;557.0;0.6796875;0.5625;7.0;7.0;0.6364578949287534;0.5625;0.5625;9.0;9.0
3;0.8888756;0.8181818;128.0;128.0;0.4185329404744235;0.8181818;0.8181818;576.0;576.0;0.6640625;0.5625;7.0;7.0;0.6824575886130333;0.5625;0.5625;9.0;9.0
4;0.91729575;0.8380682;114.0;114.0;0.36642605337229645;0.8380682;0.8380682;590.0;590.0;0.72265625;0.6875;5.0;5.0;0.6320485174655914;0.6875;0.6875;11.0;11.0
5;0.92085;0.84090906;112.0;112.0;0.36123582178896124;0.84090906;0.84090906;592.0;592.0;0.640625;0.5;8.0;8.0;0.7203611098229885;0.5;0.5;8.0;8.0
6;0.94166154;0.875;88.0;88.0;0.3122396929697557;0.875;0.875;616.0;616.0;0.515625;0.4375;9.0;9.0;1.1245748213259503;0.4375;0.4375;7.0;7.0
7;0.93272513;0.85227275;104.0;104.0;0.3304022645408457;0.85227275;0.85227275;600.0;600.0;0.5703125;0.5625;7.0;7.0;0.7563813561573625;0.5625;0.5625;9.0;9.0
8;0.95903784;0.8948864;74.0;74.0;0.2675998549569737;0.8948864;0.8948864;630.0;630.0;0.515625;0.5;8.0;8.0;1.0031709806062281;0.5;0.5;8.0;8.0
9;0.9593768;0.8963068;73.0;73.0;0.25923906673084607;0.8963068;0.8963068;631.0;631.0;0.45703125;0.5625;7.0;7.0;0.9831371493637562;0.5625;0.5625;9.0;9.0
