epoch;accuracy;loss;val_accuracy;val_loss
0;0.7920366;0.454850679686801;0.86899036;0.3616644961711688
1;0.82040125;0.41086207795888186;0.8854167;0.32359423278233945
2;0.82670456;0.3970969383266162;0.88100964;0.3299702268380385
3;0.83154297;0.3858940167860551;0.880609;0.3346714300987048
4;0.8366921;0.3769714449616996;0.88421476;0.3178320355140246
5;0.8404652;0.3683918665417216;0.8854167;0.30529373769576734
6;0.8456587;0.3605967940000648;0.8874199;0.30331978049033725
7;0.8495206;0.3537774121981453;0.88421476;0.3207046676140565
8;0.8512518;0.3490010665898973;0.88421476;0.31784182481276685
9;0.8551136;0.3430549205619503;0.88301283;0.3209818444955043
