epoch;accuracy;loss;val_accuracy;val_loss
0;0.78946203;0.4673624014989896;0.8329327;0.4024058034022649
1;0.82985616;0.3876874368129806;0.8894231;0.29504642349023086
2;0.8560902;0.3363431276414882;0.885016;0.3088543388323906
3;0.8817472;0.28949507465586066;0.8782051;0.3398800562971678
4;0.9045632;0.24402842806144195;0.859375;0.42428357899188995
5;0.92014384;0.20464691335589372;0.8641827;0.4349231257652625
6;0.9330167;0.1715663624292409;0.853766;0.47958297034104663
7;0.94113994;0.1497361881404438;0.8713942;0.47759275940748364
8;0.9518377;0.12803388472688806;0.8701923;0.5382238660867398
9;0.9549894;0.11896033835364506;0.8457532;0.6859096128206986
