epoch;accuracy;loss;val_accuracy;val_loss
0;0.9531694;0.1083677941374371;1.0;4.180569135314727e-07
1;1.0;1.8250667127068193e-07;1.0;7.967969711191674e-08
2;1.0;5.023316005583276e-08;1.0;3.1302768772118526e-08
3;1.0;2.1510367093585166e-08;1.0;1.7074243451197113e-08
4;1.0;1.5271570886664743e-08;1.0;1.422853706461385e-08
5;1.0;1.14192836499847e-08;1.0;1.1382830480657605e-08
6;1.0;1.035567114888119e-08;1.0;1.1382830579344095e-08
