epoch;accuracy;loss;val_accuracy;val_loss
0;0.77729934;0.4809473513371565;0.85216343;0.3789193828900655
1;0.8114347;0.42316542752087116;0.8489583;0.3881517740396353
2;0.8169833;0.41288137275048276;0.85336536;0.38518850085062856
3;0.81858134;0.4070456955920566;0.85657054;0.3735184172789256
4;0.8224432;0.4014665399339389;0.84375;0.4103007882069319
5;0.8243519;0.3972835605117408;0.8553686;0.37929472212608045
6;0.82794744;0.3921786746518178;0.85216343;0.38556536115132845
7;0.83096594;0.3879645129411735;0.85657054;0.3782904461408273
8;0.8302557;0.38578298924998805;0.85136217;0.38677090941331327
9;0.8332741;0.3808786097744649;0.85977566;0.36532306594726366
