epoch;accuracy;loss;val_accuracy;val_loss
0;0.7933239;0.45613276018676435;0.84094554;0.39247254989086056
1;0.83047765;0.388566756113009;0.84455127;0.3633726506661146
2;0.8550249;0.33623922569677234;0.8681891;0.37093515273852223
3;0.8825462;0.27787498450330034;0.8141026;0.5335207016040118
4;0.9091797;0.2209320427765223;0.8573718;0.4000642628241808
5;0.9247603;0.18594954572406344;0.8425481;0.5023032698111657
6;0.94438034;0.1444319027042101;0.85657054;0.5366199062420771
7;0.95134944;0.12956570330425166;0.83934295;0.7135222913363041
8;0.9609375;0.10983876684225503;0.8525641;0.6838425749387497
9;0.96972656;0.08490611931748307;0.8401442;0.7673713297416003
