epoch;accuracy;loss;val_accuracy;val_loss
0;0.7725497;0.4773623028092764;0.87459934;0.34398980706166
1;0.81747156;0.41133642730049114;0.8613782;0.35779863061049044
2;0.8246626;0.3995408596555618;0.87780446;0.34020039974114835
3;0.8302557;0.39114345368844544;0.87740386;0.3396767584177164
4;0.8354936;0.38392256475477055;0.88301283;0.33046757028653073
5;0.83651453;0.3791748973202299;0.88221157;0.3283208715610015
6;0.8396662;0.3731948697346855;0.880609;0.3281974372191307
7;0.84139735;0.3687060551548546;0.8681891;0.3490317784822904
8;0.8432617;0.3639430286447433;0.8766026;0.33560985708848023
9;0.8453036;0.3619859930212525;0.8762019;0.33773456819546527
