epoch;accuracy;loss;val_accuracy;val_loss
0;0.76034266;0.5027183749797669;0.84655446;0.3930238794821959
1;0.8108132;0.4258045913990248;0.8629808;0.35709198239522105
2;0.8194247;0.41165719934823836;0.8641827;0.3509583561084209
3;0.825728;0.4025669085623866;0.87740386;0.33330601568405444
4;0.8267933;0.3974984978240999;0.86538464;0.3459666990316831
5;0.8302557;0.391231295525689;0.8782051;0.3318254408928064
6;0.83358485;0.3855223691260273;0.8782051;0.3303305820012704
7;0.83527166;0.3823350468989123;0.88301283;0.318954613728401
8;0.83615947;0.37812677631154656;0.8798077;0.3229307601085076
9;0.8388228;0.37336474817923526;0.8737981;0.3277222724297108
