epoch;accuracy;loss;val_accuracy;val_loss
0;0.7939009;0.4587978044186126;0.8645833;0.3599155354194152
1;0.83815694;0.38117345845834777;0.85136217;0.3680043056225165
2;0.8628817;0.33124118052761664;0.88141024;0.3321337157335037
3;0.89080256;0.2725769006012177;0.86578524;0.3722109622680224
4;0.91659266;0.21818788548592816;0.8762019;0.33682389366321075
5;0.9348366;0.1720138431039893;0.8798077;0.4069180694910196
6;0.95028406;0.13503198034066538;0.87780446;0.4703005063228118
7;0.95840734;0.1133270706103014;0.86578524;0.5795014615242298
8;0.96404475;0.10063483091917905;0.88100964;0.539924660172218
9;0.9720792;0.07919861104826188;0.86578524;0.5412454505761465
